cell_x,cell_y,world_x_m,world_y_m,hits
236,505,6.839250,10.688369,100
156,396,2.839250,5.238369,100
351,492,12.589250,10.038369,100
297,521,9.889250,11.488369,100
397,459,14.889250,8.388369,100
218,191,5.939250,-5.011632,100
387,149,14.389250,-7.111632,100
120,330,1.039250,1.938369,100
67,324,-1.610750,1.638369,100
495,356,19.789250,3.238369,100
496,321,19.839250,1.488369,100
441,385,17.089250,4.688369,100
158,442,2.939250,7.538369,100
293,221,9.689250,-3.511632,100
374,66,13.739250,-11.261632,100
229,502,6.489250,10.538369,100
264,343,8.239250,2.588369,100
431,191,16.589250,-5.011632,100
162,332,3.139250,2.038369,100
392,120,14.639250,-8.561632,100
239,515,6.989250,11.188369,100
395,125,14.789250,-8.311632,100
375,67,13.789250,-11.211632,100
441,241,17.089250,-2.511632,100
367,63,13.389250,-11.411632,100
446,356,17.339250,3.238369,100
169,456,3.489250,8.238369,100
323,514,11.189250,11.138369,100
432,192,16.639250,-4.961632,100
215,194,5.789250,-4.861632,100
444,166,17.239250,-6.261632,100
172,461,3.639250,8.488369,100
207,339,5.389250,2.388369,100
205,495,5.289250,10.188369,100
232,512,6.639250,11.038369,100
224,508,6.239250,10.838369,100
347,499,12.389250,10.388369,100
105,328,0.289250,1.838369,100
463,265,18.189250,-1.311632,100
355,174,12.789250,-5.861632,100
400,96,15.039250,-9.761632,100
479,389,18.989250,4.888369,100
149,334,2.489250,2.138369,100
278,219,8.939250,-3.611632,100
436,427,16.839250,6.788369,100
194,485,4.739250,9.688369,100
155,414,2.789250,6.138369,100
302,347,10.139250,2.788369,100
173,462,3.689250,8.538369,100
284,150,9.239250,-7.061632,100
395,246,14.789250,-2.261632,100
430,204,16.539250,-4.361632,100
225,509,6.289250,10.888369,100
439,173,16.989250,-5.911632,100
159,384,2.989250,4.638369,100
253,162,7.689250,-6.461632,100
414,116,15.739250,-8.761632,100
142,331,2.139250,1.988369,100
195,486,4.789250,9.738369,100
391,132,14.589250,-7.961632,100
396,247,14.839250,-2.211632,100
288,156,9.439250,-6.761632,100
356,174,12.839250,-5.861632,100
408,450,15.439250,7.938369,100
221,215,6.089250,-3.811632,100
445,368,17.289250,3.838369,100
446,333,17.339250,2.088369,100
237,339,6.889250,2.388369,100
311,517,10.589250,11.288369,100
195,342,4.789250,2.538369,100
113,389,0.689250,4.888369,100
316,223,10.839250,-3.411632,100
267,218,8.389250,-3.661632,100
179,334,3.989250,2.138369,100
436,139,16.839250,-7.611632,100
481,290,19.089250,-0.061632,100
338,507,11.939250,10.788369,100
374,164,13.739250,-6.361632,100
428,135,16.439250,-7.811632,100
358,485,12.939250,9.688369,100
335,501,11.789250,10.488369,100
307,519,10.389250,11.388369,100
437,140,16.889250,-7.561632,100
85,326,-0.710750,1.738369,100
