cell_x,cell_y,world_x_m,world_y_m,hits
372,394,13.639250,5.138369,100
373,393,13.689250,5.088369,100
373,394,13.689250,5.138369,100
373,395,13.689250,5.188369,100
374,394,13.739250,5.138369,100
370,321,13.539250,1.488369,100
371,320,13.589250,1.438369,100
371,321,13.589250,1.488369,100
371,322,13.589250,1.538369,100
372,321,13.639250,1.488369,100
2,303,-4.860751,0.588368,100
3,302,-4.810751,0.538368,100
3,303,-4.810751,0.588368,100
3,304,-4.810751,0.638368,100
4,303,-4.760751,0.588368,100
1,338,-4.910751,2.338369,100
2,337,-4.860751,2.288369,100
2,338,-4.860751,2.338369,100
2,339,-4.860751,2.388369,100
3,338,-4.810751,2.338369,100
182,270,4.139250,-1.061632,100
183,269,4.189250,-1.111632,100
183,270,4.189250,-1.061632,100
183,271,4.189250,-1.011632,100
184,270,4.239250,-1.061632,100
347,566,12.389250,13.738369,100
348,565,12.439250,13.688369,100
348,566,12.439250,13.738369,100
348,567,12.439250,13.788369,100
349,566,12.489250,13.738369,100
240,440,7.039250,7.438369,100
241,439,7.089250,7.388369,100
241,440,7.089250,7.438369,100
241,441,7.089250,7.488369,100
242,440,7.139250,7.438369,100
329,289,11.489250,-0.111632,100
330,288,11.539250,-0.161632,100
330,289,11.539250,-0.111632,100
330,290,11.539250,-0.061632,100
331,289,11.589250,-0.111632,100
219,417,5.989250,6.288369,100
220,416,6.039250,6.238369,100
220,417,6.039250,6.288369,100
220,418,6.039250,6.338369,100
221,417,6.089250,6.288369,100
234,280,6.739250,-0.561632,100
235,279,6.789250,-0.611632,100
235,280,6.789250,-0.561632,100
235,281,6.789250,-0.511632,100
236,280,6.839250,-0.561632,100
309,45,10.489250,-12.311632,100
310,44,10.539250,-12.361632,100
310,45,10.539250,-12.311632,100
310,46,10.539250,-12.261632,100
311,45,10.589250,-12.311632,100
549,292,22.489250,0.038368,100
550,291,22.539250,-0.011632,100
550,292,22.539250,0.038368,100
550,293,22.539250,0.088368,100
551,292,22.589250,0.038368,100
427,37,16.389250,-12.711632,100
428,36,16.439250,-12.761632,100
428,37,16.439250,-12.711632,100
428,38,16.439250,-12.661632,100
429,37,16.489250,-12.711632,100
242,400,7.139250,5.438369,100
243,399,7.189250,5.388369,100
243,400,7.189250,5.438369,100
243,401,7.189250,5.488369,100
244,400,7.239250,5.438369,100
144,243,2.239250,-2.411632,100
145,242,2.289250,-2.461632,100
145,243,2.289250,-2.411632,100
145,244,2.289250,-2.361632,100
146,243,2.339250,-2.411632,100
222,571,6.139250,13.988369,100
223,570,6.189250,13.938369,100
223,571,6.189250,13.988369,100
223,572,6.189250,14.038369,100
224,571,6.239250,13.988369,100
550,373,22.539250,4.088369,100
551,372,22.589250,4.038369,100
551,373,22.589250,4.088369,100
551,374,22.589250,4.138369,100
552,373,22.639250,4.088369,100
349,567,12.489250,13.788369,100
349,568,12.489250,13.838369,100
350,567,12.539250,13.788369,100
242,441,7.139250,7.488369,100
242,442,7.139250,7.538369,100
243,441,7.189250,7.488369,100
311,46,10.589250,-12.261632,100
311,47,10.589250,-12.211632,100
312,46,10.639250,-12.261632,100
438,52,16.939250,-11.961632,100
439,51,16.989250,-12.011632,100
439,52,16.989250,-11.961632,100
439,53,16.989250,-11.911632,100
440,52,17.039250,-11.961632,100
193,135,4.689250,-7.811632,100
194,134,4.739250,-7.861632,100
194,135,4.739250,-7.811632,100
194,136,4.739250,-7.761632,100
195,135,4.789250,-7.811632,100
219,273,5.989250,-0.911632,100
220,272,6.039250,-0.961632,100
220,273,6.039250,-0.911632,100
220,274,6.039250,-0.861632,100
221,273,6.089250,-0.911632,100
166,267,3.339250,-1.211632,100
167,266,3.389250,-1.261632,100
167,267,3.389250,-1.211632,100
167,268,3.389250,-1.161632,100
168,267,3.439250,-1.211632,100
8,355,-4.560751,3.188369,100
9,354,-4.510751,3.138369,100
9,355,-4.510751,3.188369,100
9,356,-4.510751,3.238369,100
10,355,-4.460751,3.188369,100
321,406,11.089250,5.738369,100
322,405,11.139250,5.688369,100
322,406,11.139250,5.738369,100
322,407,11.139250,5.788369,100
323,406,11.189250,5.738369,100
314,281,10.739250,-0.511632,100
315,280,10.789250,-0.561632,100
315,281,10.789250,-0.511632,100
315,282,10.789250,-0.461632,100
316,281,10.839250,-0.511632,100
555,344,22.789250,2.638369,100
556,343,22.839250,2.588369,100
556,344,22.839250,2.638369,100
556,345,22.839250,2.688369,100
557,344,22.889250,2.638369,100
366,557,13.339250,13.288369,100
367,556,13.389250,13.238369,100
367,557,13.389250,13.288369,100
367,558,13.389250,13.338369,100
368,557,13.439250,13.288369,100
387,351,14.389250,2.988369,100
388,350,14.439250,2.938369,100
388,351,14.439250,2.988369,100
388,352,14.439250,3.038369,100
389,351,14.489250,2.988369,100
18,368,-4.060751,3.838369,100
19,367,-4.010751,3.788369,100
19,368,-4.010751,3.838369,100
19,369,-4.010751,3.888369,100
20,368,-3.960751,3.838369,100
495,213,19.789250,-3.911632,100
496,212,19.839250,-3.961632,100
496,213,19.839250,-3.911632,100
496,214,19.839250,-3.861632,100
497,213,19.889250,-3.911632,100
272,284,8.639250,-0.361632,100
273,283,8.689250,-0.411632,100
273,284,8.689250,-0.361632,100
273,285,8.689250,-0.311632,100
274,284,8.739250,-0.361632,100
165,158,3.289250,-6.661632,100
166,157,3.339250,-6.711632,100
166,158,3.339250,-6.661632,100
166,159,3.339250,-6.611632,100
167,158,3.389250,-6.661632,100
340,10,12.039250,-14.061632,100
341,9,12.089250,-14.111632,100
341,10,12.089250,-14.061632,100
341,11,12.089250,-14.011632,100
342,10,12.139250,-14.061632,100
363,402,13.189250,5.538369,100
364,401,13.239250,5.488369,100
364,402,13.239250,5.538369,100
364,403,13.239250,5.588369,100
365,402,13.289250,5.538369,100
498,218,19.939250,-3.661632,100
499,217,19.989250,-3.711632,100
499,218,19.989250,-3.661632,100
499,219,19.989250,-3.611632,100
500,218,20.039250,-3.661632,100
231,103,6.589250,-9.411632,100
232,102,6.639250,-9.461632,100
232,103,6.639250,-9.411632,100
232,104,6.639250,-9.361632,100
233,103,6.689250,-9.411632,100
1,315,-4.910751,1.188368,100
2,314,-4.860751,1.138368,100
2,315,-4.860751,1.188368,100
2,316,-4.860751,1.238368,100
3,315,-4.810751,1.188368,100
519,241,20.989250,-2.511632,100
520,240,21.039250,-2.561632,100
520,241,21.039250,-2.511632,100
520,242,21.039250,-2.461632,100
521,241,21.089250,-2.511632,100
376,341,13.839250,2.488369,100
377,340,13.889250,2.438369,100
377,341,13.889250,2.488369,100
377,342,13.889250,2.538369,100
378,341,13.939250,2.488369,100
214,279,5.739250,-0.611632,100
215,278,5.789250,-0.661632,100
215,279,5.789250,-0.611632,100
215,280,5.789250,-0.561632,100
216,279,5.839250,-0.611632,100
139,514,1.989250,11.138369,100
140,513,2.039250,11.088369,100
140,514,2.039250,11.138369,100
140,515,2.039250,11.188369,100
141,514,2.089250,11.138369,100
389,352,14.489250,3.038369,100
389,353,14.489250,3.088369,100
390,352,14.539250,3.038369,100
20,369,-3.960751,3.888369,100
20,370,-3.960751,3.938369,100
21,369,-3.910751,3.888369,100
375,4,13.789250,-14.361632,100
376,3,13.839250,-14.411632,100
376,4,13.839250,-14.361632,100
376,5,13.839250,-14.311632,100
377,4,13.889250,-14.361632,100
353,394,12.689250,5.138369,100
354,393,12.739250,5.088369,100
354,394,12.739250,5.138369,100
354,395,12.739250,5.188369,100
355,394,12.789250,5.138369,100
307,98,10.389250,-9.661632,100
308,97,10.439250,-9.711632,100
308,98,10.439250,-9.661632,100
308,99,10.439250,-9.611632,100
309,98,10.489250,-9.661632,100
521,242,21.089250,-2.461632,100
521,243,21.089250,-2.411632,100
522,242,21.139250,-2.461632,100
257,277,7.889250,-0.711632,100
