cell_x,cell_y,world_x_m,world_y_m,hits
373,394,-13.539783,17.350776,100
371,321,-11.269872,14.490705,100
3,303,-24.785090,1.972362,100
2,338,-25.948426,3.280662,100
183,270,-16.830629,6.494425,100
348,566,-20.026001,23.134501,100
241,440,-20.073793,14.869501,100
330,289,-11.811500,11.947255,100
220,417,-20.138748,13.313615,100
235,280,-15.160552,8.548894,100
310,45,-4.734346,1.959568,100
550,292,-3.482285,19.133818,100
428,37,0.042016,5.446166,100
243,400,-18.711438,13.401853,100
145,243,-17.418081,4.238899,100
223,571,-24.974020,19.308000,100
551,373,-6.047646,22.268131,100
349,567,-20.019847,23.204943,100
242,441,-20.067638,14.939943,100
311,46,-4.728191,2.030010,100
439,52,-0.018860,6.374225,100
194,135,-12.069914,1.677726,100
220,273,-15.510020,7.798647,100
167,267,-17.346971,5.865227,100
9,355,-26.226785,4.156743,100
322,406,-15.878729,16.171015,100
315,281,-12.128824,11.158708,100
556,344,-4.923980,21.318198,100
367,557,-19.009036,23.400550,100
388,351,-11.583118,16.186104,100
19,368,-26.261672,4.976061,100
496,213,-3.011027,14.372471,100
273,284,-13.833789,9.923558,100
166,158,-13.881580,1.658558,100
341,10,-2.422057,1.615586,100
364,402,-14.141620,17.367867,100
499,218,-3.056852,14.660395,100
232,103,-9.585969,1.673647,100
2,315,-25.209116,2.399799,100
520,241,-2.991896,16.216281,100
377,341,-11.682961,15.449536,100
215,279,-15.894376,7.867717,100
140,514,-26.320582,14.457044,100
389,352,-11.576963,16.256546,100
20,369,-26.255518,5.046504,100
376,4,-0.888750,2.510834,100
354,394,-14.267453,16.740041,100
308,98,-6.514571,3.925095,100
521,242,-2.985742,16.286723,100
258,277,-14.183257,9.173310,100
337,570,-20.575860,22.934111,100
457,486,-13.279961,23.574319,100
323,406,-15.840430,16.203159,100
310,287,-12.513180,11.227779,100
141,515,-26.314428,14.527486,100
181,551,-25.939674,17.191986,100
45,398,-26.230232,6.960756,100
309,99,-6.508417,3.995537,100
265,401,-17.901017,14.147318,100
301,95,-6.686228,3.585192,100
311,288,-12.507026,11.298221,100
337,426,-15.947132,17.419142,100
248,577,-24.209424,20.341389,100
283,455,-18.947419,16.794023,100
479,101,-0.061978,9.536604,100
295,280,-12.862648,10.477531,100
349,400,-14.651808,16.809111,100
201,273,-16.237690,7.187912,100
429,509,-15.091627,23.555152,100
46,399,-26.224078,7.031198,100
495,454,-10.796016,23.570240,100
266,402,-17.894863,14.217761,100
253,283,-14.567613,9.242381,100
49,404,-26.269902,7.319122,100
508,164,-0.976393,12.881578,100
56,263,-21.469517,2.144056,100
539,268,-3.132113,17.861073,100
249,578,-24.203270,20.411831,100
216,401,-19.777639,12.572265,100
376,390,-13.296312,17.294014,100
337,282,-11.318404,11.904174,100
496,455,-10.789861,23.640683,100
483,107,-0.101648,9.894970,100
201,129,-11.608962,1.672943,100
330,14,-2.971915,1.415196,100
536,262,-3.054145,17.534851,100
4,338,-25.871830,3.344950,100
361,1,-1.366794,1.913780,100
224,112,-10.181652,1.761181,100
303,405,-16.574254,15.521982,100
377,354,-12.100832,15.947416,100
252,94,-8.530706,1.971840,100
285,91,-7.170427,2.917695,100
81,441,-26.233680,9.764768,100
1,332,-25.793861,3.018728,100
26,276,-23.036340,1.677617,100
309,76,-5.769106,3.114674,100
547,393,-6.843719,22.905523,100
305,451,-17.976279,17.347996,100
280,278,-13.372836,9.918775,100
185,269,-16.721888,6.520415,100
494,201,-2.701896,13.848603,100
371,396,-13.680668,17.363084,100
138,194,-16.111117,2.137270,100
238,281,-15.077801,8.683625,100
337,403,-15.207821,16.538279,100
143,272,-18.426853,5.285264,100
85,447,-26.273350,10.123135,100
543,279,-3.332503,18.410931,100
6,303,-24.670195,2.068794,100
226,572,-24.891269,19.442730,100
186,270,-16.715734,6.590857,100
507,176,-1.400419,13.309014,100
464,480,-12.819009,23.569536,100
384,371,-12.379190,16.823496,100
8,349,-26.072219,3.894808,100
556,334,-4.602541,20.935214,100
388,341,-11.261678,15.803120,100
333,405,-15.425302,16.486300,100
423,33,-0.020900,5.132253,100
174,152,-13.382329,1.685920,100
315,91,-6.021475,3.882014,100
349,4,-1.922807,1.642947,100
45,267,-22.019375,1.943666,100
554,373,-5.932751,22.364563,100
398,534,-17.082476,23.516149,100
2,305,-24.887676,2.016815,100
256,450,-19.820756,15.734644,100
318,282,-12.046073,11.293439,100
248,446,-19.998568,15.324299,100
223,273,-15.395125,7.895078,100
377,331,-11.361521,15.066553,100
389,342,-11.255524,15.873562,100
276,285,-13.751038,10.058288,100
424,34,-0.014745,5.202695,100
181,276,-17.100089,6.659928,100
316,92,-6.015321,3.952456,100
132,271,-18.815991,4.893383,100
322,23,-3.567598,1.502730,100
111,477,-26.241910,12.107829,100
549,294,-3.584872,19.178270,100
555,374,-5.926597,22.435006,100
325,406,-15.763833,16.267447,100
321,27,-3.734472,1.623780,100
266,91,-7.898096,2.306960,100
212,120,-10.898384,1.681841,100
356,393,-14.158712,16.766030,100
491,209,-3.073943,14.058558,100
227,279,-15.434795,8.253445,100
155,260,-17.581545,5.211411,100
449,63,0.010540,7.116947,100
260,276,-14.074516,9.199299,100
235,103,-9.471074,1.770079,100
322,108,-6.299833,4.758094,100
503,183,-1.778620,13.448527,100
124,272,-19.154522,4.674530,100
122,491,-26.270643,12.997590,100
552,304,-3.791416,19.657686,100
379,4,-0.773855,2.607266,100
460,78,-0.050337,8.045006,100
538,406,-7.606276,23.114107,100
371,0,-0.951666,2.196921,100
301,579,-22.243897,22.121614,100
294,454,-18.493993,17.109308,100
317,29,-3.951954,1.571801,100
556,311,-3.863230,20.054351,100
261,277,-14.068362,9.269742,100
516,238,-3.048658,15.972810,100
359,291,-10.765135,12.956026,100
508,154,-0.654954,12.498594,100
170,275,-17.489228,6.268046,100
377,308,-10.622211,14.185690,100
147,520,-26.245357,14.911842,100
388,354,-11.679550,16.300999,100
433,505,-14.809857,23.530534,100
133,213,-16.913344,2.704220,100
308,65,-5.453821,2.661248,100
555,351,-5.187286,21.554142,100
254,94,-8.454109,2.036128,100
298,280,-12.747753,10.573963,100
527,252,-3.077391,16.862571,100
377,344,-11.779392,15.564432,100
148,521,-26.239203,14.982284,100
302,579,-22.205599,22.153758,100
281,456,-19.056160,16.768033,100
256,283,-14.452718,9.338812,100
297,92,-6.742990,3.341721,100
113,271,-19.543660,4.282648,100
151,526,-26.285027,15.270208,100
252,578,-24.088375,20.508263,100
309,66,-5.447667,2.731690,100
534,413,-7.984477,23.253620,100
405,528,-16.621523,23.511366,100
455,488,-13.420846,23.586628,100
313,36,-4.330155,1.711314,100
336,428,-16.049718,17.463595,100
486,107,0.013247,9.991402,100
428,511,-15.194213,23.599605,100
328,573,-21.016977,22.759711,100
155,273,-17.999416,5.709290,100
241,276,-14.802186,8.588565,100
66,424,-26.261708,8.631537,100
494,456,-10.898602,23.614693,100
181,145,-12.889233,1.642838,100
380,550,-18.286150,23.550333,100
472,474,-12.319758,23.596897,100
355,563,-19.661481,23.244613,100
376,357,-12.235562,16.030167,100
67,425,-26.255554,8.701979,100
283,278,-13.257941,10.015207,100
554,363,-5.611312,21.981579,100
324,575,-21.234458,22.707732,100
192,276,-16.678807,7.013511,100
77,438,-26.290441,9.521297,100
558,333,-4.493800,20.961203,100
249,401,-18.513792,13.633015,100
329,281,-11.592647,11.608724,100
369,317,-11.217893,14.273223,100
504,133,-0.133124,11.565752,100
92,454,-26.230268,10.616231,100
287,284,-13.297611,10.373573,100
4,341,-25.968261,3.459845,100
259,451,-19.738005,15.869374,100
218,413,-20.086769,13.096134,100
98,268,-20.021705,3.685593,100
251,447,-19.915816,15.459029,100
226,274,-15.312374,8.029809,100
17,280,-23.509602,1.541515,100
102,467,-26.265156,11.435549,100
444,496,-14.099280,23.539432,100
316,576,-21.572989,22.488878,100
1,335,-25.890293,3.133623,100
143,239,-17.366102,4.021417,100
229,279,-15.358198,8.317732,100
491,199,-2.752504,13.675574,100
430,40,0.022181,5.625349,100
5,305,-24.772781,2.113247,100
286,404,-17.193183,14.937236,100
321,282,-11.931178,11.389870,100
172,153,-13.491070,1.659930,100
272,277,-13.647080,9.623325,100
397,537,-17.217206,23.598900,100
243,442,-20.061484,15.010386,100
507,143,-0.339669,12.045167,100
222,419,-20.126439,13.454500,100
103,468,-26.259001,11.505992,100
230,280,-15.352044,8.388175,100
325,23,-3.452703,1.599162,100
376,334,-11.496251,15.149304,100
7,351,-26.174806,3.939261,100
106,473,-26.304826,11.793916,100
497,215,-3.037017,14.481212,100
312,578,-21.790471,22.436899,100
252,447,-19.877518,15.491173,100
244,443,-20.055329,15.080828,100
239,99,-9.189305,1.745461,100
508,144,-0.333514,12.115610,100
325,288,-11.970848,11.748237,100
441,54,-0.006552,6.515110,100
343,422,-15.588765,17.458812,100
8,352,-26.168651,4.009703,100
355,396,-14.293442,16.848781,100
555,324,-4.319400,20.520086,100
11,357,-26.214476,4.297627,100
267,283,-14.031435,9.692396,100
210,566,-25.311180,18.698636,100
133,203,-16.591904,2.321236,100
308,55,-5.132382,2.278264,100
541,406,-7.491380,23.210539,100
374,0,-0.836771,2.293352,100
145,177,-15.296581,1.711205,100
320,29,-3.837059,1.668233,100
508,229,-3.065749,15.370973,100
36,270,-22.460493,1.769266,100
264,277,-13.953467,9.366174,100
211,122,-11.000970,1.726294,100
445,60,-0.046222,6.873476,100
1,312,-25.150982,2.252760,100
498,215,-2.998718,14.513356,100
558,346,-4.911671,21.459082,100
132,503,-26.273386,13.778610,100
435,504,-14.701117,23.556523,100
173,275,-17.374333,6.364478,100
502,185,-1.881206,13.492980,100
309,56,-5.126227,2.348706,100
522,429,-8.958361,23.480667,100
413,522,-16.122272,23.538728,100
71,264,-20.927185,2.664513,100
380,345,-11.696641,15.699162,100
375,1,-0.830616,2.363795,100
479,467,-11.826661,23.553816,100
22,371,-26.243209,5.187388,100
115,270,-19.434920,4.308637,100
537,408,-7.708862,23.158560,100
136,213,-16.798449,2.800652,100
502,450,-10.399351,23.642054,100
549,382,-6.413539,22.548529,100
456,74,-0.074955,7.763237,100
305,287,-12.704672,11.067059,100
143,517,-26.302119,14.668371,100
210,278,-16.053724,7.668699,100
552,307,-3.887848,19.772581,100
116,271,-19.428765,4.379080,100
47,400,-26.217923,7.101640,100
316,445,-17.362133,17.471789,100
537,264,-3.080134,17.643591,100
0,325,-25.607152,2.718495,100
309,406,-16.376608,15.753144,100
295,93,-6.851731,3.315732,100
141,184,-15.674782,1.850718,100
316,36,-4.215260,1.807746,100
474,473,-12.211017,23.622887,100
307,67,-5.556408,2.705701,100
179,147,-13.030117,1.655147,100
58,415,-26.278800,8.029699,100
357,562,-19.552740,23.270603,100
244,276,-14.687291,8.684996,100
558,323,-4.172360,20.578219,100
538,265,-3.073980,17.714034,100
288,90,-7.023388,2.975829,100
312,447,-17.579614,17.419810,100
308,68,-5.550253,2.776143,100
387,361,-11.942856,16.536944,100
363,4,-1.386629,2.092963,100
243,576,-24.368772,20.142370,100
379,357,-12.120667,16.126599,100
372,318,-11.135142,14.407954,100
312,38,-4.432741,1.755767,100
3,335,-25.813696,3.197911,100
157,164,-14.419129,1.599053,100
332,16,-2.959607,1.556081,100
248,282,-14.726961,9.043363,100
195,276,-16.563912,7.109943,100
252,401,-18.398896,13.729447,100
84,445,-26.247360,10.014394,100
332,281,-11.477752,11.705155,100
280,91,-7.361919,2.756976,100
541,275,-3.280524,18.193449,100
546,390,-6.785585,22.758484,100
350,415,-15.095669,17.415731,100
87,450,-26.293185,10.302318,100
544,280,-3.326348,18.481373,100
311,78,-5.756797,3.255559,100
180,269,-16.913380,6.359695,100
139,231,-17.262144,3.586455,100
241,99,-9.112708,1.809749,100
385,372,-12.373036,16.893938,100
